tu,nghia
Surgical technician, Kỹ thuật viên phẫu thuật
Home health nurse, Y tá chăm sóc sức khỏe tại nhà
Virologist, Bác sĩ dịch tễ học virus
Medical librarian, Thư thư viện y học
Cardiovascular technician, Kỹ thuật viên tim mạch
Nuclear medicine technologist, Kỹ thuật viên y học hạt nhân
Dental hygienist, Nha sĩ vệ sinh răng miệng
Pulmonary function technician, Kỹ thuật viên chức năng phổi
Rehabilitation therapist, Thợ trị liệu
Veterinary surgeon, Bác sĩ thú y phẫu thuật
Orthopedic nurse, Y tá chuyên khoa chỉnh hình
Histotechnologist, Kỹ thuật viên mô bệnh học
Clinical social worker, Công tác xã hội thực hành
Medical secretary, Thư ký y học
Psychiatric nurse, Y tá tâm thần học
Perfusionist, Bác sĩ trợ tuần hoàn
Ophthalmic technician, Kỹ thuật viên mắt học
Radiation therapist, Kỹ thuật viên trị liệu bức xạ
Dental assistant, Trợ lý nha sĩ
Pharmacy technician, Kỹ thuật viên dược phẩm
Clinical laboratory scientist, Nhà khoa học phòng thí nghiệm lâm sàng
Orthopedic technician, Kỹ thuật viên chỉnh hình
Medical technologist, Kỹ thuật viên y tế
Sonographer, Người làm siêu âm
Dental technician, Kỹ thuật viên nha sĩ
Prosthetist, Người làm cơ học thay thế
Audiologist, Bác sĩ thính học
Chiropractor, Bác sĩ cấp cứu chỉnh hình cột sống
Cytotechnologist, Kỹ thuật viên thử nghiệm tế bào
Phlebotomy technician, Kỹ thuật viên lấy mẫu máu
Clinical research coordinator, Người phối hợp nghiên cứu lâm sàng
EMT (Emergency Medical Technician), Kỹ thuật viên y tế cấp cứu
Surgical assistant, Trợ lý phẫu thuật
Massage therapist, Thợ mát-xa
Psychologist, Nhà tâm lý học
Biomedical engineer, Kỹ sư y sinh
Dietitian, Dinh dưỡng sư
Respiratory therapist, Kỹ thuật viên hô hấp
Programmer, Lập trình viên
Database administrator, Quản trị cơ sở dữ liệu
Network engineer, Kỹ sư mạng
Web developer, Nhà phát triển web
Cybersecurity analyst, Chuyên viên an ninh mạng
Software engineer, Kỹ sư phần mềm
System administrator, Quản trị hệ thống
IT consultant, Tư vấn công nghệ thông tin
Data scientist, Nhà khoa học dữ liệu
Front-end developer, Nhà phát triển giao diện người dùng
Back-end developer, Nhà phát triển phía sau
Full-stack developer, Nhà phát triển toàn diện
DevOps engineer, Kỹ sư DevOps
UI/UX designer, Thiết kế giao diện người dùng và trải nghiệm người dùng
Cloud architect, Kiến trúc sư đám mây
Network administrator, Quản trị mạng
Data analyst, Nhà phân tích dữ liệu
Mobile app developer, Nhà phát triển ứng dụng di động
System analyst, Nhà phân tích hệ thống
Software tester, Người kiểm thử phần mềm
IT project manager, Quản lý dự án công nghệ thông tin
Information security specialist, Chuyên viên an toàn thông tin
Computer scientist, Nhà khoa học máy tính
Network security engineer, Kỹ sư an ninh mạng
IT support specialist, Chuyên viên hỗ trợ công nghệ thông tin
Cloud computing engineer, Kỹ sư tính toán đám mây
Web designer, Thiết kế web
AI engineer, Kỹ sư trí tuệ nhân tạo
Database developer, Nhà phát triển cơ sở dữ liệu
Big data analyst, Nhà phân tích dữ liệu lớn
Mobile application tester, Người kiểm thử ứng dụng di động
Network architect, Kiến trúc sư mạng
Systems engineer, Kỹ sư hệ thống
IT auditor, Kiểm toán viên công nghệ thông tin
Embedded systems developer, Nhà phát triển hệ thống nhúng
Software architect, Kiến trúc sư phần mềm
IT trainer, Giảng viên công nghệ thông tin
Data engineer, Kỹ sư dữ liệu
Cloud solutions architect, Kiến trúc sư giải pháp đám mây
DevSecOps engineer, Kỹ sư DevSecOps
Mobile game developer, Nhà phát triển trò chơi di động
IT analyst, Nhà phân tích công nghệ thông tin
Blockchain developer, Nhà phát triển blockchain
IT technician, Kỹ thuật viên công nghệ thông tin
Robotics engineer, Kỹ sư robot
Network support technician, Kỹ thuật viên hỗ trợ mạng
IT security consultant, Tư vấn an ninh công nghệ thông tin
Machine learning engineer, Kỹ sư học máy
UX researcher, Nghiên cứu viên trải nghiệm người dùng
QA engineer (Quality Assurance), Kỹ sư đảm bảo chất lượng
Data administrator, Quản trị dữ liệu
VR/AR developer, Nhà phát triển thực tế ảo / Tăng cường thực tế
Embedded systems designer, Thiết kế hệ thống nhúng
IT procurement specialist, Chuyên gia mua sắm công nghệ thông tin
IT business analyst, Nhà phân tích kinh doanh công nghệ thông tin
IT project coordinator, Người phối hợp dự án công nghệ thông tin
Wireless network engineer, Kỹ sư mạng không dây
Cloud security specialist, Chuyên gia an ninh đám mây
Multimedia designer, Thiết kế đa phương tiện
IT ethics consultant, Tư vấn đạo đức công nghệ thông tin
Web content manager, Quản lý nội dung web
IT risk analyst, Nhà phân tích rủi ro công nghệ thông tin
Robotics programmer, Lập trình viên robot
AI researcher, Nghiên cứu viên trí tuệ nhân tạo
IT process analyst, Nhà phân tích quy trình công nghệ thông tin
IT documentation specialist, Chuyên viên tài liệu công nghệ thông tin
Network technician, Kỹ thuật viên mạng
IT infrastructure architect, Kiến trúc sư hạ tầng công nghệ thông tin
SEO specialist, Chuyên gia tối ưu hóa công cụ tìm kiếm
Virtualization engineer, Kỹ sư ảo hóa
IT compliance officer, Quản lý tuân thủ công nghệ thông tin
Cybersecurity consultant, Tư vấn an ninh mạng
Software development manager, Quản lý phát triển phần mềm
Game designer, Nhà thiết kế trò chơi
IT sales representative, Đại diện bán hàng công nghệ thông tin
Social media manager, Quản lý truyền thông xã hội
IT vendor manager, Quản lý nhà cung cấp công nghệ thông tin
Bioinformatics analyst, Nhà phân tích thông tin sinh học
IT capacity planner, Kế hoạch công suất công nghệ thông tin
Augmented reality developer, Nhà phát triển thực tế ảo
3D modeler, Người mô hình 3D
IT solution architect, Kiến trúc sư giải pháp công nghệ thông tin
Network security consultant, Tư vấn an ninh mạng
IT communications specialist, Chuyên viên truyền thông công nghệ thông tin
Penetration tester, Người kiểm thử xâm nhập
IT operations manager, Quản lý hoạt động công nghệ thông tin
IT service desk analyst, Nhà phân tích bàn dịch vụ công nghệ thông tin
Computational scientist, Nhà khoa học tính toán
IT recruitment specialist, Chuyên gia tuyển dụng công nghệ thông tin
IT training coordinator, Người phối hợp đào tạo công nghệ thông tin
Web security specialist, Chuyên gia an ninh web
IT change manager, Quản lý thay đổi công nghệ thông tin
Geospatial analyst, Nhà phân tích không gian địa lý
IT content writer, Nhà viết nội dung công nghệ thông tin
Information systems manager, Quản lý hệ thống thông tin
Computer graphics designer, Nhà thiết kế đồ họa máy tính
IT process improvement analyst, Nhà phân tích cải tiến quy trình công nghệ thông tin
Video game tester, Người kiểm thử trò chơi video
IT support manager, Quản lý hỗ trợ công nghệ thông tin
IT standards compliance officer, Quản lý tuân thủ tiêu chuẩn công nghệ thông tin
Education, Giáo dục
Student, Học sinh/Sinh viên
Teacher, Giáo viên
School, Trường học
Blackboard, Bảng đen
University, Đại học
Science, Khoa học
Evaluation, Đánh giá
Course, Khóa học
Preschool Education, Giáo dục mầm non
Lesson, Bài học
Curriculum, Chương trình học
Grading, Điểm số
Classroom, Lớp học
Lecture, Bài giảng
Higher Education, Giáo dục cao cấp
Reading, Đọc
Library, Thư viện
Research, Nghiên cứu
Diploma, Bằng cấp
Student Desk, Bàn học
Training, Đào tạo
Social Science, Khoa học xã hội
Natural Science, Khoa học tự nhiên
Workshop, Hội thảo
Exam, Kỳ thi
Computer Science, Khoa học máy tính
Assignment, Phân công
Study Plan, Kế hoạch học tập
Study Materials, Tài liệu học tập
Tuition Fee, Học phí
Instructor, Thầy cô giáo
Encouragement, Động viên
Graduation Project, Đồ án tốt nghiệp
Mass Education, Học với quy mô lớn
Open University, Trường đại học mở
Educational Technology, Công nghệ giáo dục
School Board, Hội đồng trường học
Classroom Management, Quản lý lớp học
Textbook, Sách giáo trình
Syllabus, Kế hoạch học
Homework, Bài tập về nhà
Student Loan, Vay học sinh
Knowledge, Kiến thức
Group Study, Học nhóm
E-learning, Học trực tuyến
Report Card, Bảng điểm
Educational System, Hệ thống giáo dục
Tutor, Gia sư
Study Abroad, Học ở nước ngoài
Literacy, Biết đọc biết viết
Scholarship, Học bổng
Thesis, Luận văn
Educational Institution, Cơ sở giáo dục
Digital Learning, Học tập số hóa
Educational Policy, Chính sách giáo dục
Special Education, Giáo dục đặc biệt
Study Group, Nhóm học tập
Continuing Education, Học tập liên tục
Study Skills, Kỹ năng học tập
Distance Learning, Học từ xa
Grading System, Hệ thống điểm
Parent-Teacher Conference, Cuộc họp phụ huynh và giáo viên
Educational Leadership, Lãnh đạo giáo dục
Classroom Assessment, Đánh giá lớp học
Online Course, Khóa học trực tuyến
Educational Psychology, Tâm lý học giáo dục
Educational Assessment, Đánh giá giáo dục
Study Habits, Thói quen học tập
Classroom Environment, Môi trường lớp học
Literacy Rate, Tỷ lệ biết chữ
Research Paper, Bài luận văn nghiên cứu
Academic Achievement, Thành tựu học tập
Educational Consultant, Tư vấn giáo dục
Online Learning Platform, Nền tảng học tập trực tuyến
Educational Reform, Cải cách giáo dục
Parental Involvement, Sự tham gia của phụ huynh
Educational Resource, Tài nguyên giáo dục
Student Assessment, Đánh giá học sinh
Educational Assessment, Đánh giá giáo dục
Learning Disabilities, Khuyết tật học tập
Multicultural Education, Giáo dục đa văn hóa
Critical Thinking, Tư duy phản biện
Educational Philosophy, Triết học giáo dục
Classroom Behavior, Hành vi lớp học
Student Motivation, Động lực học sinh
Curriculum Development, Phát triển chương trình học
Educational Technology, Công nghệ giáo dục
Academic Standards, Tiêu chuẩn học thuật
Lifelong Learning, Học suốt đời
School Principal, Hiệu trưởng
Educational Research, Nghiên cứu giáo dục
Study Abroad Program, Chương trình học ở nước ngoài
Classroom Participation, Tham gia lớp học
Early Childhood Education, Giáo dục mầm non
Student Assessment, Đánh giá học sinh
Education Funding, Nguồn tài trợ giáo dục
School District, Quận học
Special Needs Education, Giáo dục cho người có nhu cầu đặc biệt
Educational Resources, Tài liệu giáo dục
History, Lịch sử
Era, Thời kỳ
Historical event, Sự kiện lịch sử
Historian, Nhà sử học
Ancient, Cổ đại
Modern, Hiện đại
Dynasty, Triều đại
Chronicles, Sử sách
Historical sites, Di tích lịch sử
Nation, Quốc gia
Territory, Lãnh thổ
War, Chiến tranh
Peace, Hòa bình
Revolution, Cách mạng
Industrial Revolution, Cách mạng công nghiệp
Empire, Đế chế
Slavery, Nô lệ
Religion, Tôn giáo
Culture, Văn hóa
Geography, Địa lý
Ruler, Lãnh chúa
Empire, Đế chế
Feudalism, Chế độ phong kiến
Republic, Cộng hòa
Feudal, Phong kiến
Monarchy, Chế độ quân chủ
Ancient Civilization, Nền văn minh cổ đại
World War, Chiến tranh thế giới
Religion, Tôn giáo
Archaeology, Khảo cổ học
Democracy, Dân chủ
Government, Chính phủ
Treaty, Hiệp định
Empire, Đế chế
Independence, Độc lập
Exploration, Khám phá
Colonization, Thực dân
History Books, Sách lịch sử
Heritage, Di sản
Colonialism, Chủ nghĩa thực dân
Antiquity, Thời cổ đại
Regime, Chế độ chính trị
Monarch, Vua chúa
Sovereignty, Chủ quyền
Philosophy, Triết học
Artifacts, Đồ tàng
King, Vua
Queen, Nữ hoàng
Emperor, Hoàng đế
Revolution, Cách mạng
Dictator, Độc tài
Rebellion, Cuộc nổi dậy
Colonial Empire, Đế chế thực dân
Historiography, Lịch sử học
Dynasty, Triều đại
Nationalism, Chủ nghĩa dân tộc
Renaissance, Phục hưng
Archaeologist, Nhà khảo cổ học
Civilization, Văn minh
World History, Lịch sử thế giới
Historical Figures, Nhân vật lịch sử
Industrialization, Công nghiệp hóa
Archeological Site, Di chỉ khảo cổ học
Revolution, Cách mạng
Feudal System, Hệ thống phong kiến
Scientific Discovery, Khám phá khoa học
Cultural Heritage, Di sản văn hóa
Ancient Greece, Hy Lạp cổ đại
Ancient Rome, La Mã cổ đại
Middle Ages, Trung cổ
Renaissance, Phục hưng
Enlightenment, Thời kỳ Ánh sáng
Imperialism, Đế chế hóa
Medieval, Trung cổ
Monarchy, Chế độ quân chủ
Colonial Rule, Cai trị thực dân
Historical Evidence, Bằng chứng lịch sử
Prehistoric, Tiền sử
Dynastic Rule, Cai trị triều đại
Modernization, Hiện đại hóa
Anthropology, Nhân loại học
Renaissance Art, Nghệ thuật Phục hưng
Historical Context, Bối cảnh lịch sử
Historiographical, Lịch sử học
Ancient Civilization, Nền văn minh cổ đại
World War, Chiến tranh thế giới
Historical Artifact, Di vật lịch sử
Great Depression, Khủng bố lớn
Cold War, Chiến tranh lạnh
Ancient Egypt, Ai Cập cổ đại
Historical Geography, Địa lý lịch sử
National Identity, Bản sắc dân tộc
Post-Colonialism, Chủ nghĩa sau thực dân
Ancient China, Trung Quốc cổ đại
Historian, Nhà sử học
Historical Period, Thời kỳ lịch sử
Historical Source, Nguồn lịch sử
Imperial Rule, Cai trị đế quốc
Historical Record, Hồ sơ lịch sử
World Civilization, Văn minh thế giới
Biology, Sinh học
Cell, Tế bào
Organism, Cơ thể sống
DNA (Deoxyribonucleic Acid), Axit deoxyribonucleic
Gene, Gen
Genome, Genoma
Chromosome, Nhiễm sắc thể
Nucleus, Hạt nhân
Cytoplasm, Tế bào chất
Mitochondria, Hạt năng lượng
Photosynthesis, Quang hợp
Respiration, Hô hấp
Reproduction, Sự tái sản xuất
Evolution, Tiến hóa
Natural Selection, Lựa chọn tự nhiên
Mutation, Đột biến
Genetic Variation, Biến thể di truyền
Ecosystem, Hệ sinh thái
Biodiversity, Đa dạng sinh học
Species, Loài
Population, Dân số
Community, Cộng đồng
Predator, Thú săn mồi
Prey, Con mồi
Food Chain, Chuỗi thức ăn
Habitat, Môi trường sống
Ecology, Sinh thái học
Biome, Vùng thực vật
Climate, Khí hậu
Adaptation, Sự thích nghi
Symbiosis, Quan hệ cộng sinh
Parasitism, Quan hệ ký sinh
Mutualism, Quan hệ hợp sinh
Commensalism, Quan hệ hỗ trợ
Herbivore, Thú ăn cỏ
Carnivore, Thú ăn thịt
Omnivore, Thú ăn tạp
Decomposer, Thủy phân
Enzyme, Enzyme
Bacteria, Vi khuẩn
Virus, Vi-rút
Fungus, Nấm
Plant, Thực vật
Animal, Động vật
Invertebrate, Động vật không xương sống
Vertebrate, Động vật có xương sống
Mammal, Thú
Reptile, Bò sát
Amphibian, Lưỡng cư
Bird, Chim
Fish, Cá
Arthropod, Động vật chân khớp
Mollusk, Động vật thân mềm
Nervous System, Hệ thần kinh
Circulatory System, Hệ tuần hoàn
Respiratory System, Hệ hô hấp
Digestive System, Hệ tiêu hóa
Excretory System, Hệ thải độc
Endocrine System, Hệ nội tiết
Reproductive System, Hệ sinh dục
Genetics, Di truyền học
Biotechnology, Công nghệ sinh học
Cloning, Nhân bản
Stem Cells, Tế bào gốc
Ecological Footprint, Dấu chân sinh thái
Endangered Species, Loài đang nguy cấp
Extinction, Sự tuyệt chủng
Conservation, Bảo tồn
Hybrid, Loài lai
DNA Sequencing, Xác định chuỗi DNA
Genetic Engineering, Kỹ thuật di truyền
Organic, Hữu cơ
Photosynthetic Organism, Cơ thể quang hợp
Carbon Cycle, Chu trình carbon
Nitrogen Cycle, Chu trình nitơ
Microorganism, Vi khuẩn và vi sinh vật
Taxonomy, Phân loại học
Inheritance, Sự di truyền
Aquatic, Sống dưới nước
Terrestrial, Sống trên cạn
Adaptation, Sự thích nghi
Sensitive, Nhạy bén
Genetic Variation, Biến đổi di truyền
Eukaryotic Cell, Tế bào hạt nhân
Prokaryotic Cell, Tế bào không hạt nhân
Carbon Footprint, Dấu chân carbon
Sustainability, Bền vững
Reproduction, Sự tái sản xuất
Physiology, Sinh lý học
Homeostasis, Cân bằng nội môi
Genetic Mutation, Đột biến gen
Microscope, Kính hiển vi
Taxa, Nhóm phân loại
Cladistics, Phân loại dựa trên tổ tiên chung
Embryology, Sinh dục học
Spermatogenesis, Sự tạo tinh trùng
Oogenesis, Sự tạo trứng
Fertilization, Sự thụ tinh
Homeobox Genes, Gen homeobox
Adaptation, Sự thích nghi
Electronics, Điện tử
Circuit, Mạch điện
Voltage, Điện áp
Current, Dòng điện
Resistor, Kháng trở
Capacitor, Điện tụ
Inductor, Cuộn cảm
Diode, Điốt
Transistor, Tranzito
Integrated Circuit, Mạch tích hợp
Semiconductor, Bán dẫn
Conductor, Dẫn nhiệt
Insulator, Cách điện
Amplifier, Khuếch đại
Oscillator, Dao động
Frequency, Tần số
Voltage Regulator, Bộ ổn áp điện áp
Microcontroller, Vi điều khiển
Logic Gate, Cổng logic
Digital Signal, Tín hiệu số
Analog Signal, Tín hiệu tương tự
Soldering, Hàn nối
Multimeter, Bộ đo đa năng
Printed Circuit Board (PCB), Bo mạch in
Resistance, Sự kháng cự
Impedance, Điện trở tổng
Transformer, Máy biến áp
Voltage Divider, Máy chia áp
Current Limiter, Máy giới hạn dòng
Transducer, Bộ biến đổi
Oscilloscope, Máy hiển vi dao động
Power Supply, Nguồn cung cấp điện
Ground, Mát, đất
Conduction, Dẫn điện
Insulation, Cách điện
Semiconductor Devices, Thiết bị bán dẫn
Circuit Analysis, Phân tích mạch
Ohm's Law, Định luật Ohm
Electric Field, Trường điện
Magnetic Field, Trường từ
Alternating Current (AC), Dòng điện xoay chiều
Direct Current (DC), Dòng điện một chiều
Power Efficiency, Hiệu suất công suất
Voltage Drop, Sự giảm áp điện
Circuit Breaker, Cầu dao
Silicon, Silic
Printed Wiring Board (PWB), Bo mạch in
Electronic Component, Linh kiện điện tử
Electrical Resistance, Kháng điện
Joule's Law, Định luật Joule
Electron, Electron
Proton, Proton
Neutron, Neutron
Semiconductor Material, Vật liệu bán dẫn
Insulating Material, Vật liệu cách điện
Magnetic Flux, Luồng từ
Signal Processing, Xử lý tín hiệu
Circuit Design, Thiết kế mạch điện
Grounding, Đất (điện)
Voltage Regulator, Bộ ổn áp điện áp
Transistor Amplifier, Khuếch đại tranzito
Diode Rectifier, Điốt chỉnh lưu
Oscillator Circuit, Mạch đao động
Frequency Modulation, Modul hóa tần số
Pulse Width Modulation, Modul hóa độ rộng xung
Microprocessor, Vi xử lý
Logic Level, Mức logic
Digital Logic, Logic số
Analog Electronics, Điện tử tương tự
Circuit Analysis, Phân tích mạch
Impedance Matching, Xác định điện trở tổng
Semiconductor Fabrication, Chế tạo bán dẫn
Transducer Sensor, Cảm biến biến đổi
Digital Signal Processing, Xử lý tín hiệu số
RF (Radio Frequency), Tần số sóng radio
Power Electronics, Điện tử công suất
Ground Plane, Mặt đất (điện)
Current Divider, Chia dòng
Inductive Reactance, Phản ứng từ
Dielectric Material, Vật liệu bán dẫn tử
Voltage Source, Nguồn điện áp
Circuit Analysis, Phân tích mạch
Node, Nút
Transformer Core, Lõi biến áp
Circuit Protection, Bảo vệ mạch
Voltage Multiplier, Bộ nâng điện áp
Series Circuit, Mạch nối tiếp
Parallel Circuit, Mạch song song
Transistor Switch, Công tắc tranzito
Magnetic Flux, Luồng từ
Magnetic Field Strength, Cường độ trường từ
Electrical Conductor, Dẫn điện
Voltage Divider Rule, Nguyên tắc chia áp điện
Circuit Simulation, Mô phỏng mạch điện
Electric Power, Công suất điện
Circuit Components, Linh kiện mạch
Resonance, Điều khiển xung
Ground Fault, Lỗi đất
Dielectric Strength, Độ cách điện
Electronic Circuit, Mạch điện tử
Appliance, Thiết bị gia dụng
Refrigerator, Tủ lạnh
Washing Machine, Máy giặt
Dishwasher, Máy rửa bát đĩa
Microwave Oven, Lò vi sóng
Oven, Lò nướng
Stove, Bếp
Toaster, Máy nướng bánh mì
Blender, Máy xay sinh tố
Coffee Maker, Máy pha cà phê
Kettle, Ấm đun nước
Vacuum Cleaner, Máy hút bụi
Air Purifier, Máy lọc không khí
Iron, Bàn ủi
Hair Dryer, Máy sấy tóc
Ceiling Fan, Quạt trần
Electric Heater, Bình nhiệt điện
Food Processor, Máy xay thức phẩm
Rice Cooker, Nồi cơm điện
Slow Cooker, Nồi hâm nóng
Blender, Máy xay sinh tố
Mixer, Máy trộn
Food Dehydrator, Máy làm khô thực phẩm
Juicer, Máy ép trái cây
Air Conditioner, Máy điều hòa không khí
Dehumidifier, Máy lọc ẩm
Electric Grill, Bếp nướng điện
Electric Skillet, Bát nướng điện
Trash Compactor, Máy nén rác
Garbage Disposal, Máy tiêu thải rác
Bread Maker, Máy làm bánh mì
Ice Maker, Máy làm đá
Food Steamer, Máy hấp thực phẩm
Waffle Maker, Máy làm bánh waffle
Popcorn Maker, Máy làm bỏng ngô
Espresso Machine, Máy pha cà phê Espresso
Food Warmer, Máy giữ ấm thức ăn
Electric Can Opener, Máy mở nắp lon
Electric Griddle, Bếp nướng bằng điện
Rice Cooker, Nồi cơm điện
Convection Oven, Lò nướng quạt nhiệt
Steam Iron, Bàn ủi hơi nước
Robot Vacuum, Robot hút bụi
Hand Mixer, Máy trộn tay
Countertop Oven, Lò nướng trên bàn
Electric Kettle, Ấm đun nước điện
Toaster Oven, Lò nướng bánh mỳ
Stand Mixer, Máy trộn đứng
Cordless Vacuum, Máy hút bụi không dây
Steam Cleaner, Máy làm sạch bằng hơi nước
Immersion Blender, Máy xay nhúng
Portable Heater, Bình nhiệt điện cầm tay
Electric Skillet, Bát nướng điện
Electric Griddle, Bếp nướng bằng điện
Hand Blender, Máy xay tay
Rice Cooker, Nồi cơm điện
Pressure Cooker, Nồi áp suất điện
Deep Fryer, Máy chiên sâu
Slow Cooker, Nồi hâm nóng
Popcorn Popper, Máy làm bỏng ngô
Food Slicer, Máy cắt thực phẩm
Meat Grinder, Máy xay thịt
Electric Wok, Chảo điện
Food Chopper, Máy xay thức ăn
Electric Can Opener, Máy mở nắp lon
Coffee Grinder, Máy xay cà phê
Immersion Heater, Bình đun nước
Electric Grill, Bếp nướng điện
Handheld Steamer, Bình hấp cầm tay
Vacuum Sealer, Máy hút chân không
Food Vacuum Sealer, Máy hút chân không thực phẩm
Electric Roaster, Bếp nướng điện
Electric Deep Fryer, Máy chiên sâu điện
Electric Crepe Maker, Máy làm bánh crêpe điện
Electric Tea Kettle, Ấm đun nước điện
Electric Citrus Juicer, Máy ép trái cây điện
Electric Ice Cream Maker, Máy làm kem điện
Electric Food Steamer, Máy hấp thực phẩm điện
Electric Waffle Maker, Máy làm bánh waffle điện
Electric Pressure Cooker, Nồi áp suất điện
Electric Popcorn Popper, Máy làm bỏng ngô điện
Electric Food Slicer, Máy cắt thức phẩm điện
Electric Meat Grinder, Máy xay thịt điện
Electric Egg Cooker, Máy luộc trứng điện
Electric Pasta Maker, Máy làm mì điện
Electric Soup Maker, Máy làm súp điện
Electric Yogurt Maker, Máy làm sữa chua điện
Electric Egg Beater, Máy đánh trứng điện
Electric Cheese Grater, Máy xay phô mai điện
Electric Can Crusher, Máy nghiền lon điện
Electric Meat Slicer, Máy cắt thịt điện
Electric Potato Peeler, Máy bào khoai tây điện
Electric Bread Slicer, Máy cắt bánh mỳ điện
Electric Knife Sharpener, Máy mài dao điện
Electric Ice Crusher, Máy nghiền đá điện
Electric Coffee Grinder, Máy xay cà phê điện
Electric Tea Kettle, Ấm đun nước điện
Electric Citrus Juicer, Máy ép trái cây điện
Electric Ice Cream Maker, Máy làm kem điện
Electric Food Steamer, Máy hấp thực phẩm điện
Chef, Đầu bếp
Cuisine, Nấu ăn, nghệ thuật nấu ăn
Recipe, Công thức nấu ăn
Ingredient, Nguyên liệu
Cooking, Nấu nướng
Baking, Làm bánh
Roasting, Nướng
Grilling, Nướng lửa than
Frying, Chiên
Boiling, Luộc
Steaming, Hấp
Sauteing, Xào
Simmering, Hầm
Poaching, Luộc ngâm
Seasoning, Món mắm
Spices, Gia vị
Herbs, Cây cỏ thơm
Flavor, Mùi vị
Taste, Vị giác
Texture, Kết cấu
Presentation, Trình bày
Gourmet, Người sành ăn
Palate, Khả năng phân biệt vị giác
Appetizer, Món khai vị
Main Course, Món chính
Dessert, Món tráng miệng
Entree, Món ăn thứ hai
Side Dish, Món kèm
Salad, Món trộn
Soup, Mì súp
Bread, Bánh mì
Pasta, Mì ống
Rice, Gạo
Meat, Thịt
Poultry, Gà, ngỗng, vịt
Seafood, Hải sản
Vegetables, Rau cải
Fruits, Trái cây
Dairy, Sản phẩm từ sữa
Cheese, Phô mai
Olive Oil, Dầu oliu
Vinegar, Giấm
Garlic, Tỏi
Onion, Hành tây
Tomato, Cà chua
Potato, Khoai tây
Cucumber, Dưa leo
Eggplant, Cà tím
Bell Pepper, Ớt chuông
Carrot, Cà rốt
Mushroom, Nấm
Pepper, Ớt
Salt, Muối
Sugar, Đường
Butter, Bơ
Cream, Kem
Sour Cream, Kem chua
Honey, Mật ong
Mustard, Mù tạt
Ketchup, Nước xốt cà chua
Mayonnaise, Sốt mayonnaise
Salsa, Sốt salsal
Dressing, Sốt salad
Marinade, Nước sốt ướp
Gravy, Nước sốt đậu xanh
Baste, Quét nước sốt lên mặt thức ăn
Poach, Luộc ngâm
Boil, Luộc
Grill, Nướng lửa than
Roast, Nướng
Broil, Nướng trên bếp
Steam, Hấp
Saute, Xào
Simmer, Hầm
Fry, Chiên
