tu,nghia,chu_de
Otolaryngologist, Bác sĩ tai mũi họng,y học
Medical illustrator, Họa sĩ y học,y học
Clinical microbiologist, Vi khuẩn học thực hành,y học
Pediatric nurse, Y tá nhi khoa,y học
Cardiac nurse, Y tá chuyên khoa tim mạch,y học
Radiologic therapist, Kỹ thuật viên điều trị chẩn đoán hình ảnh,y học
Surgical technician, Kỹ thuật viên phẫu thuật,y học
Home health nurse, Y tá chăm sóc sức khỏe tại nhà,y học
Virologist, Bác sĩ dịch tễ học virus,y học
Medical librarian, Thư thư viện y học,y học
Cardiovascular technician, Kỹ thuật viên tim mạch,y học
Nuclear medicine technologist, Kỹ thuật viên y học hạt nhân,y học
Dental hygienist, Nha sĩ vệ sinh răng miệng,y học
Pulmonary function technician, Kỹ thuật viên chức năng phổi,y học
Rehabilitation therapist, Thợ trị liệu,y học
Veterinary surgeon, Bác sĩ thú y phẫu thuật,y học
Orthopedic nurse, Y tá chuyên khoa chỉnh hình,y học
Histotechnologist, Kỹ thuật viên mô bệnh học,y học
Clinical social worker, Công tác xã hội thực hành,y học
Medical secretary, Thư ký y học,y học
Psychiatric nurse, Y tá tâm thần học,y học
Perfusionist, Bác sĩ trợ tuần hoàn,y học
Ophthalmic technician, Kỹ thuật viên mắt học,y học
Radiation therapist, Kỹ thuật viên trị liệu bức xạ,y học
Dental assistant, Trợ lý nha sĩ,y học
Pharmacy technician, Kỹ thuật viên dược phẩm,y học
Clinical laboratory scientist, Nhà khoa học phòng thí nghiệm lâm sàng,y học
Orthopedic technician, Kỹ thuật viên chỉnh hình,y học
Medical technologist, Kỹ thuật viên y tế,y học
Sonographer, Người làm siêu âm,y học
Dental technician, Kỹ thuật viên nha sĩ,y học
Prosthetist, Người làm cơ học thay thế,y học
Audiologist, Bác sĩ thính học,y học
Chiropractor, Bác sĩ cấp cứu chỉnh hình cột sống,y học
Cytotechnologist, Kỹ thuật viên thử nghiệm tế bào,y học
Phlebotomy technician, Kỹ thuật viên lấy mẫu máu,y học
Clinical research coordinator, Người phối hợp nghiên cứu lâm sàng,y học
EMT (Emergency Medical Technician), Kỹ thuật viên y tế cấp cứu,y học
Surgical assistant, Trợ lý phẫu thuật,y học
Massage therapist, Thợ mát-xa,y học
Psychologist, Nhà tâm lý học,y học
Biomedical engineer, Kỹ sư y sinh,y học
Dietitian, Dinh dưỡng sư,y học
Respiratory therapist, Kỹ thuật viên hô hấp,y học
Programmer, Lập trình viên,công nghệ thông tin
Database administrator, Quản trị cơ sở dữ liệu,công nghệ thông tin
Network engineer, Kỹ sư mạng,công nghệ thông tin
Web developer, Nhà phát triển web,công nghệ thông tin
Cybersecurity analyst, Chuyên viên an ninh mạng,công nghệ thông tin
Software engineer, Kỹ sư phần mềm,công nghệ thông tin
System administrator, Quản trị hệ thống,công nghệ thông tin
IT consultant, Tư vấn công nghệ thông tin,công nghệ thông tin
Data scientist, Nhà khoa học dữ liệu,công nghệ thông tin
Front-end developer, Nhà phát triển giao diện người dùng,công nghệ thông tin
Back-end developer, Nhà phát triển phía sau,công nghệ thông tin
Full-stack developer, Nhà phát triển toàn diện,công nghệ thông tin
DevOps engineer, Kỹ sư DevOps,công nghệ thông tin
UI;UX designer, Thiết kế giao diện người dùng và trải nghiệm người dùng,công nghệ thông tin
Cloud architect, Kiến trúc sư đám mây,công nghệ thông tin
Network administrator, Quản trị mạng,công nghệ thông tin
Data analyst, Nhà phân tích dữ liệu,công nghệ thông tin
Mobile app developer, Nhà phát triển ứng dụng di động,công nghệ thông tin
System analyst, Nhà phân tích hệ thống,công nghệ thông tin
Software tester, Người kiểm thử phần mềm,công nghệ thông tin
IT project manager, Quản lý dự án công nghệ thông tin,công nghệ thông tin
Information security specialist, Chuyên viên an toàn thông tin,công nghệ thông tin
Computer scientist, Nhà khoa học máy tính,công nghệ thông tin
Network security engineer, Kỹ sư an ninh mạng,công nghệ thông tin
IT support specialist, Chuyên viên hỗ trợ công nghệ thông tin,công nghệ thông tin
Cloud computing engineer, Kỹ sư tính toán đám mây,công nghệ thông tin
Web designer, Thiết kế web,công nghệ thông tin
AI engineer, Kỹ sư trí tuệ nhân tạo,công nghệ thông tin
Database developer, Nhà phát triển cơ sở dữ liệu,công nghệ thông tin
Big data analyst, Nhà phân tích dữ liệu lớn,công nghệ thông tin
Mobile application tester, Người kiểm thử ứng dụng di động,công nghệ thông tin
Network architect, Kiến trúc sư mạng,công nghệ thông tin
Systems engineer, Kỹ sư hệ thống,công nghệ thông tin
IT auditor, Kiểm toán viên công nghệ thông tin,công nghệ thông tin
Embedded systems developer, Nhà phát triển hệ thống nhúng,công nghệ thông tin
Software architect, Kiến trúc sư phần mềm,công nghệ thông tin
IT trainer, Giảng viên công nghệ thông tin,công nghệ thông tin
Data engineer, Kỹ sư dữ liệu,công nghệ thông tin
Cloud solutions architect, Kiến trúc sư giải pháp đám mây,công nghệ thông tin
DevSecOps engineer, Kỹ sư DevSecOps,công nghệ thông tin
Mobile game developer, Nhà phát triển trò chơi di động,công nghệ thông tin
IT analyst, Nhà phân tích công nghệ thông tin,công nghệ thông tin
Blockchain developer, Nhà phát triển blockchain,công nghệ thông tin
IT technician, Kỹ thuật viên công nghệ thông tin,công nghệ thông tin
Robotics engineer, Kỹ sư robot,công nghệ thông tin
Network support technician, Kỹ thuật viên hỗ trợ mạng,công nghệ thông tin
IT security consultant, Tư vấn an ninh công nghệ thông tin,công nghệ thông tin
Machine learning engineer, Kỹ sư học máy,công nghệ thông tin
UX researcher, Nghiên cứu viên trải nghiệm người dùng,công nghệ thông tin
QA engineer (Quality Assurance), Kỹ sư đảm bảo chất lượng,công nghệ thông tin
Data administrator, Quản trị dữ liệu,công nghệ thông tin
VR;AR developer, Nhà phát triển thực tế ảo ; Tăng cường thực tế,công nghệ thông tin
Embedded systems designer, Thiết kế hệ thống nhúng,công nghệ thông tin
IT procurement specialist, Chuyên gia mua sắm công nghệ thông tin,công nghệ thông tin
IT business analyst, Nhà phân tích kinh doanh công nghệ thông tin,công nghệ thông tin
IT project coordinator, Người phối hợp dự án công nghệ thông tin,công nghệ thông tin
Wireless network engineer, Kỹ sư mạng không dây,công nghệ thông tin
Cloud security specialist, Chuyên gia an ninh đám mây,công nghệ thông tin
Multimedia designer, Thiết kế đa phương tiện,công nghệ thông tin
IT ethics consultant, Tư vấn đạo đức công nghệ thông tin,công nghệ thông tin
Web content manager, Quản lý nội dung web,công nghệ thông tin
IT risk analyst, Nhà phân tích rủi ro công nghệ thông tin,công nghệ thông tin
Robotics programmer, Lập trình viên robot,công nghệ thông tin
AI researcher, Nghiên cứu viên trí tuệ nhân tạo,công nghệ thông tin
IT process analyst, Nhà phân tích quy trình công nghệ thông tin,công nghệ thông tin
IT documentation specialist, Chuyên viên tài liệu công nghệ thông tin,công nghệ thông tin
Network technician, Kỹ thuật viên mạng,công nghệ thông tin
IT infrastructure architect, Kiến trúc sư hạ tầng công nghệ thông tin,công nghệ thông tin
SEO specialist, Chuyên gia tối ưu hóa công cụ tìm kiếm,công nghệ thông tin
Virtualization engineer, Kỹ sư ảo hóa,công nghệ thông tin
IT compliance officer, Quản lý tuân thủ công nghệ thông tin,công nghệ thông tin
Cybersecurity consultant, Tư vấn an ninh mạng,công nghệ thông tin
Software development manager, Quản lý phát triển phần mềm,công nghệ thông tin
Game designer, Nhà thiết kế trò chơi,công nghệ thông tin
IT sales representative, Đại diện bán hàng công nghệ thông tin,công nghệ thông tin
Social media manager, Quản lý truyền thông xã hội,công nghệ thông tin
IT vendor manager, Quản lý nhà cung cấp công nghệ thông tin,công nghệ thông tin
Bioinformatics analyst, Nhà phân tích thông tin sinh học,công nghệ thông tin
IT capacity planner, Kế hoạch công suất công nghệ thông tin,công nghệ thông tin
Augmented reality developer, Nhà phát triển thực tế ảo,công nghệ thông tin
3D modeler, Người mô hình 3D,công nghệ thông tin
IT solution architect, Kiến trúc sư giải pháp công nghệ thông tin,công nghệ thông tin
Network security consultant, Tư vấn an ninh mạng,công nghệ thông tin
IT communications specialist, Chuyên viên truyền thông công nghệ thông tin,công nghệ thông tin
Penetration tester, Người kiểm thử xâm nhập,công nghệ thông tin
IT operations manager, Quản lý hoạt động công nghệ thông tin,công nghệ thông tin
IT service desk analyst, Nhà phân tích bàn dịch vụ công nghệ thông tin,công nghệ thông tin
Computational scientist, Nhà khoa học tính toán,công nghệ thông tin
IT recruitment specialist, Chuyên gia tuyển dụng công nghệ thông tin,công nghệ thông tin
IT training coordinator, Người phối hợp đào tạo công nghệ thông tin,công nghệ thông tin
Web security specialist, Chuyên gia an ninh web,công nghệ thông tin
IT change manager, Quản lý thay đổi công nghệ thông tin,công nghệ thông tin
Geospatial analyst, Nhà phân tích không gian địa lý,công nghệ thông tin
IT content writer, Nhà viết nội dung công nghệ thông tin,công nghệ thông tin
Information systems manager, Quản lý hệ thống thông tin,công nghệ thông tin
Computer graphics designer, Nhà thiết kế đồ họa máy tính,công nghệ thông tin
IT process improvement analyst, Nhà phân tích cải tiến quy trình công nghệ thông tin,công nghệ thông tin
Video game tester, Người kiểm thử trò chơi video,công nghệ thông tin
IT support manager, Quản lý hỗ trợ công nghệ thông tin,công nghệ thông tin
IT standards compliance officer, Quản lý tuân thủ tiêu chuẩn công nghệ thông tin,công nghệ thông tin
Education, Giáo dục,giáo dục
Student, Học sinh;Sinh viên,giáo dục
Teacher, Giáo viên,giáo dục
School, Trường học,giáo dục
Blackboard, Bảng đen,giáo dục
University, Đại học,giáo dục
Science, Khoa học,giáo dục
Evaluation, Đánh giá,giáo dục
Course, Khóa học,giáo dục
Preschool Education, Giáo dục mầm non,giáo dục
Lesson, Bài học,giáo dục
Curriculum, Chương trình học,giáo dục
Grading, Điểm số,giáo dục
Classroom, Lớp học,giáo dục
Lecture, Bài giảng,giáo dục
Higher Education, Giáo dục cao cấp,giáo dục
Reading, Đọc,giáo dục
Library, Thư viện,giáo dục
Research, Nghiên cứu,giáo dục
Diploma, Bằng cấp,giáo dục
Student Desk, Bàn học,giáo dục
Training, Đào tạo,giáo dục
Social Science, Khoa học xã hội,giáo dục
Natural Science, Khoa học tự nhiên,giáo dục
Workshop, Hội thảo,giáo dục
Exam, Kỳ thi,giáo dục
Computer Science, Khoa học máy tính,giáo dục
Assignment, Phân công,giáo dục
Study Plan, Kế hoạch học tập,giáo dục
Study Materials, Tài liệu học tập,giáo dục
Tuition Fee, Học phí,giáo dục
Instructor, Thầy cô giáo,giáo dục
Encouragement, Động viên,giáo dục
Graduation Project, Đồ án tốt nghiệp,giáo dục
Mass Education, Học với quy mô lớn,giáo dục
Open University, Trường đại học mở,giáo dục
Educational Technology, Công nghệ giáo dục,giáo dục
School Board, Hội đồng trường học,giáo dục
Classroom Management, Quản lý lớp học,giáo dục
Textbook, Sách giáo trình,giáo dục
Syllabus, Kế hoạch học,giáo dục
Homework, Bài tập về nhà,giáo dục
Student Loan, Vay học sinh,giáo dục
Knowledge, Kiến thức,giáo dục
Group Study, Học nhóm,giáo dục
E-learning, Học trực tuyến,giáo dục
Report Card, Bảng điểm,giáo dục
Educational System, Hệ thống giáo dục,giáo dục
Tutor, Gia sư,giáo dục
Study Abroad, Học ở nước ngoài,giáo dục
Literacy, Biết đọc biết viết,giáo dục
Scholarship, Học bổng,giáo dục
Thesis, Luận văn,giáo dục
Educational Institution, Cơ sở giáo dục,giáo dục
Digital Learning, Học tập số hóa,giáo dục
Educational Policy, Chính sách giáo dục,giáo dục
Special Education, Giáo dục đặc biệt,giáo dục
Study Group, Nhóm học tập,giáo dục
Continuing Education, Học tập liên tục,giáo dục
Study Skills, Kỹ năng học tập,giáo dục
Distance Learning, Học từ xa,giáo dục
Grading System, Hệ thống điểm,giáo dục
Parent-Teacher Conference, Cuộc họp phụ huynh và giáo viên,giáo dục
Educational Leadership, Lãnh đạo giáo dục,giáo dục
Classroom Assessment, Đánh giá lớp học,giáo dục
Online Course, Khóa học trực tuyến,giáo dục
Educational Psychology, Tâm lý học giáo dục,giáo dục
Educational Assessment, Đánh giá giáo dục,giáo dục
Study Habits, Thói quen học tập,giáo dục
Classroom Environment, Môi trường lớp học,giáo dục
Literacy Rate, Tỷ lệ biết chữ,giáo dục
Research Paper, Bài luận văn nghiên cứu,giáo dục
Academic Achievement, Thành tựu học tập,giáo dục
Educational Consultant, Tư vấn giáo dục,giáo dục
Online Learning Platform, Nền tảng học tập trực tuyến,giáo dục
Educational Reform, Cải cách giáo dục,giáo dục
Parental Involvement, Sự tham gia của phụ huynh,giáo dục
Educational Resource, Tài nguyên giáo dục,giáo dục
Student Assessment, Đánh giá học sinh,giáo dục
Educational Assessment, Đánh giá giáo dục,giáo dục
Learning Disabilities, Khuyết tật học tập,giáo dục
Multicultural Education, Giáo dục đa văn hóa,giáo dục
Critical Thinking, Tư duy phản biện,giáo dục
Educational Philosophy, Triết học giáo dục,giáo dục
Classroom Behavior, Hành vi lớp học,giáo dục
Student Motivation, Động lực học sinh,giáo dục
Curriculum Development, Phát triển chương trình học,giáo dục
Educational Technology, Công nghệ giáo dục,giáo dục
Academic Standards, Tiêu chuẩn học thuật,giáo dục
Lifelong Learning, Học suốt đời,giáo dục
School Principal, Hiệu trưởng,giáo dục
Educational Research, Nghiên cứu giáo dục,giáo dục
Study Abroad Program, Chương trình học ở nước ngoài,giáo dục
Classroom Participation, Tham gia lớp học,giáo dục
Early Childhood Education, Giáo dục mầm non,giáo dục
Student Assessment, Đánh giá học sinh,giáo dục
Education Funding, Nguồn tài trợ giáo dục,giáo dục
School District, Quận học,giáo dục
Special Needs Education, Giáo dục cho người có nhu cầu đặc biệt,giáo dục
Educational Resources, Tài liệu giáo dục,giáo dục
History, Lịch sử,lịch sử
Era, Thời kỳ,lịch sử
Historical event, Sự kiện lịch sử,lịch sử
Historian, Nhà sử học,lịch sử
Ancient, Cổ đại,lịch sử
Modern, Hiện đại,lịch sử
Dynasty, Triều đại,lịch sử
Chronicles, Sử sách,lịch sử
Historical sites, Di tích lịch sử,lịch sử
Nation, Quốc gia,lịch sử
Territory, Lãnh thổ,lịch sử
War, Chiến tranh,lịch sử
Peace, Hòa bình,lịch sử
Revolution, Cách mạng,lịch sử
Industrial Revolution, Cách mạng công nghiệp,lịch sử
Empire, Đế chế,lịch sử
Slavery, Nô lệ,lịch sử
Religion, Tôn giáo,lịch sử
Culture, Văn hóa,lịch sử
Geography, Địa lý,lịch sử
Ruler, Lãnh chúa,lịch sử
Empire, Đế chế,lịch sử
Feudalism, Chế độ phong kiến,lịch sử
Republic, Cộng hòa,lịch sử
Feudal, Phong kiến,lịch sử
Monarchy, Chế độ quân chủ,lịch sử
Ancient Civilization, Nền văn minh cổ đại,lịch sử
World War, Chiến tranh thế giới,lịch sử
Religion, Tôn giáo,lịch sử
Archaeology, Khảo cổ học,lịch sử
Democracy, Dân chủ,lịch sử
Government, Chính phủ,lịch sử
Treaty, Hiệp định,lịch sử
Empire, Đế chế,lịch sử
Independence, Độc lập,lịch sử
Exploration, Khám phá,lịch sử
Colonization, Thực dân,lịch sử
History Books, Sách lịch sử,lịch sử
Heritage, Di sản,lịch sử
Colonialism, Chủ nghĩa thực dân,lịch sử
Antiquity, Thời cổ đại,lịch sử
Regime, Chế độ chính trị,lịch sử
Monarch, Vua chúa,lịch sử
Sovereignty, Chủ quyền,lịch sử
Philosophy, Triết học,lịch sử
Artifacts, Đồ tàng,lịch sử
King, Vua,lịch sử
Queen, Nữ hoàng,lịch sử
Emperor, Hoàng đế,lịch sử
Revolution, Cách mạng,lịch sử
Dictator, Độc tài,lịch sử
Rebellion, Cuộc nổi dậy,lịch sử
Colonial Empire, Đế chế thực dân,lịch sử
Historiography, Lịch sử học,lịch sử
Dynasty, Triều đại,lịch sử
Nationalism, Chủ nghĩa dân tộc,lịch sử
Renaissance, Phục hưng,lịch sử
Archaeologist, Nhà khảo cổ học,lịch sử
Civilization, Văn minh,lịch sử
World History, Lịch sử thế giới,lịch sử
Historical Figures, Nhân vật lịch sử,lịch sử
Industrialization, Công nghiệp hóa,lịch sử
Archeological Site, Di chỉ khảo cổ học,lịch sử
Revolution, Cách mạng,lịch sử
Feudal System, Hệ thống phong kiến,lịch sử
Scientific Discovery, Khám phá khoa học,lịch sử
Cultural Heritage, Di sản văn hóa,lịch sử
Ancient Greece, Hy Lạp cổ đại,lịch sử
Ancient Rome, La Mã cổ đại,lịch sử
Middle Ages, Trung cổ,lịch sử
Renaissance, Phục hưng,lịch sử
Enlightenment, Thời kỳ Ánh sáng,lịch sử
Imperialism, Đế chế hóa,lịch sử
Medieval, Trung cổ,lịch sử
Monarchy, Chế độ quân chủ,lịch sử
Colonial Rule, Cai trị thực dân,lịch sử
Historical Evidence, Bằng chứng lịch sử,lịch sử
Prehistoric, Tiền sử,lịch sử
Dynastic Rule, Cai trị triều đại,lịch sử
Modernization, Hiện đại hóa,lịch sử
Anthropology, Nhân loại học,lịch sử
Renaissance Art, Nghệ thuật Phục hưng,lịch sử
Historical Context, Bối cảnh lịch sử,lịch sử
Historiographical, Lịch sử học,lịch sử
Ancient Civilization, Nền văn minh cổ đại,lịch sử
World War, Chiến tranh thế giới,lịch sử
Historical Artifact, Di vật lịch sử,lịch sử
Great Depression, Khủng bố lớn,lịch sử
Cold War, Chiến tranh lạnh,lịch sử
Ancient Egypt, Ai Cập cổ đại,lịch sử
Historical Geography, Địa lý lịch sử,lịch sử
National Identity, Bản sắc dân tộc,lịch sử
Post-Colonialism, Chủ nghĩa sau thực dân,lịch sử
Ancient China, Trung Quốc cổ đại,lịch sử
Historian, Nhà sử học,lịch sử
Historical Period, Thời kỳ lịch sử,lịch sử
Historical Source, Nguồn lịch sử,lịch sử
Imperial Rule, Cai trị đế quốc,lịch sử
Historical Record, Hồ sơ lịch sử,lịch sử
World Civilization, Văn minh thế giới,lịch sử
Biology, Sinh học,sinh học
Cell, Tế bào,sinh học
Organism, Cơ thể sống,sinh học
DNA (Deoxyribonucleic Acid), Axit deoxyribonucleic,sinh học
Gene, Gen,sinh học
Genome, Genoma,sinh học
Chromosome, Nhiễm sắc thể,sinh học
Nucleus, Hạt nhân,sinh học
Cytoplasm, Tế bào chất,sinh học
Mitochondria, Hạt năng lượng,sinh học
Photosynthesis, Quang hợp,sinh học
Respiration, Hô hấp,sinh học
Reproduction, Sự tái sản xuất,sinh học
Evolution, Tiến hóa,sinh học
Natural Selection, Lựa chọn tự nhiên,sinh học
Mutation, Đột biến,sinh học
Genetic Variation, Biến thể di truyền,sinh học
Ecosystem, Hệ sinh thái,sinh học
Biodiversity, Đa dạng sinh học,sinh học
Species, Loài,sinh học
Population, Dân số,sinh học
Community, Cộng đồng,sinh học
Predator, Thú săn mồi,sinh học
Prey, Con mồi,sinh học
Food Chain, Chuỗi thức ăn,sinh học
Habitat, Môi trường sống,sinh học
Ecology, Sinh thái học,sinh học
Biome, Vùng thực vật,sinh học
Climate, Khí hậu,sinh học
Adaptation, Sự thích nghi,sinh học
Symbiosis, Quan hệ cộng sinh,sinh học
Parasitism, Quan hệ ký sinh,sinh học
Mutualism, Quan hệ hợp sinh,sinh học
Commensalism, Quan hệ hỗ trợ,sinh học
Herbivore, Thú ăn cỏ,sinh học
Carnivore, Thú ăn thịt,sinh học
Omnivore, Thú ăn tạp,sinh học
Decomposer, Thủy phân,sinh học
Enzyme, Enzyme,sinh học
Bacteria, Vi khuẩn,sinh học
Virus, Vi-rút,sinh học
Fungus, Nấm,sinh học
Plant, Thực vật,sinh học
Animal, Động vật,sinh học
Invertebrate, Động vật không xương sống,sinh học
Vertebrate, Động vật có xương sống,sinh học
Mammal, Thú,sinh học
Reptile, Bò sát,sinh học
Amphibian, Lưỡng cư,sinh học
Bird, Chim,sinh học
Fish, Cá,sinh học
Arthropod, Động vật chân khớp,sinh học
Mollusk, Động vật thân mềm,sinh học
Nervous System, Hệ thần kinh,sinh học
Circulatory System, Hệ tuần hoàn,sinh học
Respiratory System, Hệ hô hấp,sinh học
Digestive System, Hệ tiêu hóa,sinh học
Excretory System, Hệ thải độc,sinh học
Endocrine System, Hệ nội tiết,sinh học
Reproductive System, Hệ sinh dục,sinh học
Genetics, Di truyền học,sinh học
Biotechnology, Công nghệ sinh học,sinh học
Cloning, Nhân bản,sinh học
Stem Cells, Tế bào gốc,sinh học
Ecological Footprint, Dấu chân sinh thái,sinh học
Endangered Species, Loài đang nguy cấp,sinh học
Extinction, Sự tuyệt chủng,sinh học
Conservation, Bảo tồn,sinh học
Hybrid, Loài lai,sinh học
DNA Sequencing, Xác định chuỗi DNA,sinh học
Genetic Engineering, Kỹ thuật di truyền,sinh học
Organic, Hữu cơ,sinh học
Photosynthetic Organism, Cơ thể quang hợp,sinh học
Carbon Cycle, Chu trình carbon,sinh học
Nitrogen Cycle, Chu trình nitơ,sinh học
Microorganism, Vi khuẩn và vi sinh vật,sinh học
Taxonomy, Phân loại học,sinh học
Inheritance, Sự di truyền,sinh học
Aquatic, Sống dưới nước,sinh học
Terrestrial, Sống trên cạn,sinh học
Adaptation, Sự thích nghi,sinh học
Sensitive, Nhạy bén,sinh học
Genetic Variation, Biến đổi di truyền,sinh học
Eukaryotic Cell, Tế bào hạt nhân,sinh học
Prokaryotic Cell, Tế bào không hạt nhân,sinh học
Carbon Footprint, Dấu chân carbon,sinh học
Sustainability, Bền vững,sinh học
Reproduction, Sự tái sản xuất,sinh học
Physiology, Sinh lý học,sinh học
Homeostasis, Cân bằng nội môi,sinh học
Genetic Mutation, Đột biến gen,sinh học
Microscope, Kính hiển vi,sinh học
Taxa, Nhóm phân loại,sinh học
Cladistics, Phân loại dựa trên tổ tiên chung,sinh học
Embryology, Sinh dục học,sinh học
Spermatogenesis, Sự tạo tinh trùng,sinh học
Oogenesis, Sự tạo trứng,sinh học
Fertilization, Sự thụ tinh,sinh học
Homeobox Genes, Gen homeobox,sinh học
Adaptation, Sự thích nghi,sinh học
Electronics, Điện tử,vật lý
Circuit, Mạch điện,vật lý
Voltage, Điện áp,vật lý
Current, Dòng điện,vật lý
Resistor, Kháng trở,vật lý
Capacitor, Điện tụ,vật lý
Inductor, Cuộn cảm,vật lý
Diode, Điốt,vật lý
Transistor, Tranzito,vật lý
Integrated Circuit, Mạch tích hợp,vật lý
Semiconductor, Bán dẫn,vật lý
Conductor, Dẫn nhiệt,vật lý
Insulator, Cách điện,vật lý
Amplifier, Khuếch đại,vật lý
Oscillator, Dao động,vật lý
Frequency, Tần số,vật lý
Voltage Regulator, Bộ ổn áp điện áp,vật lý
Microcontroller, Vi điều khiển,vật lý
Logic Gate, Cổng logic,vật lý
Digital Signal, Tín hiệu số,vật lý
Analog Signal, Tín hiệu tương tự,vật lý
Soldering, Hàn nối,vật lý
Multimeter, Bộ đo đa năng,vật lý
Printed Circuit Board (PCB), Bo mạch in,vật lý
Resistance, Sự kháng cự,vật lý
Impedance, Điện trở tổng,vật lý
Transformer, Máy biến áp,vật lý
Voltage Divider, Máy chia áp,vật lý
Current Limiter, Máy giới hạn dòng,vật lý
Transducer, Bộ biến đổi,vật lý
Oscilloscope, Máy hiển vi dao động,vật lý
Power Supply, Nguồn cung cấp điện,vật lý
Ground, Mặt đất,vật lý
Conduction, Dẫn điện,vật lý
Insulation, Cách điện,vật lý
Semiconductor Devices, Thiết bị bán dẫn,vật lý
Circuit Analysis, Phân tích mạch,vật lý
Law of Ohm, Định luật Ohm,vật lý
Electric Field, Trường điện,vật lý
Magnetic Field, Trường từ,vật lý
Alternating Current (AC), Dòng điện xoay chiều,vật lý
Direct Current (DC), Dòng điện một chiều,vật lý
Power Efficiency, Hiệu suất công suất,vật lý
Voltage Drop, Sự giảm áp điện,vật lý
Circuit Breaker, Cầu dao,vật lý
Silicon, Silic,vật lý
Printed Wiring Board (PWB), Bo mạch in,vật lý
Electronic Component, Linh kiện điện tử,vật lý
Electrical Resistance, Kháng điện,vật lý
Law of Joule, Định luật Joule,vật lý
Electron, Electron,vật lý
Proton, Proton,vật lý
Neutron, Neutron,vật lý
Semiconductor Material, Vật liệu bán dẫn,vật lý
Insulating Material, Vật liệu cách điện,vật lý
Magnetic Flux, Luồng từ,vật lý
Signal Processing, Xử lý tín hiệu,vật lý
Circuit Design, Thiết kế mạch điện,vật lý
Grounding, Đất (điện),vật lý
Voltage Regulator, Bộ ổn áp điện áp,vật lý
Transistor Amplifier, Khuếch đại tranzito,vật lý
Diode Rectifier, Điốt chỉnh lưu,vật lý
Oscillator Circuit, Mạch đao động,vật lý
Frequency Modulation, Modul hóa tần số,vật lý
Pulse Width Modulation, Modul hóa độ rộng xung,vật lý
Microprocessor, Vi xử lý,vật lý
Logic Level, Mức logic,vật lý
Digital Logic, Logic số,vật lý
Analog Electronics, Điện tử tương tự,vật lý
Circuit Analysis, Phân tích mạch,vật lý
Impedance Matching, Xác định điện trở tổng,vật lý
Semiconductor Fabrication, Chế tạo bán dẫn,vật lý
Transducer Sensor, Cảm biến biến đổi,vật lý
