tu,nghia,chu_de
Space Debris,Mảnh vụn không gian,vũ trụ
Astronaut Training,Đào tạo phi hành gia,vũ trụ
Spacecraft Docking,Gắn kết tàu vũ trụ,vũ trụ
Planetary Atmosphere,Khí quyển hành tinh,vũ trụ
Space Elevator,Cầu thang không gian,vũ trụ
Cosmic Radiation,Bức xạ vũ trụ,vũ trụ
Extraterrestrial Civilization,Nền văn minh ngoài trái đất,vũ trụ
Solar Flare,Tia nắng,vũ trụ
Asteroid Belt,Dải tiểu hành tinh,vũ trụ
Rocket Launch Site,Trạm phóng tên lửa,vũ trụ
Spacewalk,Cuộc đi bộ không gian,vũ trụ
Lunar Crater,Lỗ thủng Mặt Trăng,vũ trụ
Celestial Mechanics,Cơ học thiên thể,vũ trụ
Space Agency,Cơ quan vũ trụ,vũ trụ
Galactic Center,Trung tâm ngân hà,vũ trụ
Nebular Hypothesis,Giả thuyết mây sao,vũ trụ
Lunar Eclipse,Nguyệt thực,vũ trụ
Space Debris,Mảnh vụn không gian,vũ trụ
Astronomical Event,Sự kiện thiên văn,vũ trụ
Space-Time,Thời gian không gian,vũ trụ
Interplanetary,Liên hành tinh,vũ trụ
Religion,Tôn giáo,tín ngưỡng
Scripture,Thánh kinh,tín ngưỡng
God,Thượng đế,tín ngưỡng
Faith,Đạo Tin lành,tín ngưỡng
Worship,Lễ kính,tín ngưỡng
Service,Hành động tôn thờ,tín ngưỡng
Festival,Ngày kỷ niệm tôn giáo,tín ngưỡng
Reconciliation,Quá trình hòa giải,tín ngưỡng
Bible,Sách thánh,tín ngưỡng
Prayer,Lời thỉnh cầu,tín ngưỡng
Religious Law,Quy tắc tôn giáo,tín ngưỡng
Divine,Thuộc về Thượng đế hoặc các thần thánh,tín ngưỡng
Saint,Người thánh,tín ngưỡng
Prophet,Người làm thông điệp hoặc giảng dạy từ nguồn tôn thần,tín ngưỡng
Belief, Sự tin rằng điều gì đó là đúng,tín ngưỡng
Devotion, Sự tận tụy hoặc hiến dâng sâu sắc vào một tập quán hoặc tín ngưỡng tôn thờ,tín ngưỡng
Worship, Sự tôn trọng và tôn vinh trang nghiêm được trao cho một vị thần,tín ngưỡng
Religious Ceremony, Nghi lễ tôn giáo chính thức hoặc nghi lễ,tín ngưỡng
Theology, Sự nghiên cứu về thần,tín ngưỡng
Spirituality, Sự liên quan đến tôn giáo hoặc các vấn đề tôn giáo,tín ngưỡng
Doctrine, Một bộ quy tắc hoặc nguyên tắc được giữ và giảng dạy bởi một nhóm tôn giáo,tín ngưỡng
Clergy, Ban giám đốc tôn giáo hoặc những người được phép thực hiện các nghi lễ tôn giáo,tín ngưỡng
Monastery, Tu viện,tín ngưỡng
Sacrament, Bí tích,tín ngưỡng
Church, Nhà thờ,tín ngưỡng
Synagogue, Hồi giáo,tín ngưỡng
Temple, Đền,tín ngưỡng
Mosque, Moslem,tín ngưỡng
Priest, Linh mục,tín ngưỡng
Minister, Mục sư,tín ngưỡng
Rabbi, Rabi,tín ngưỡng
Imam, Imam,tín ngưỡng
Nun, Nữ tu,tín ngưỡng
Monk, Thầy tu,tín ngưỡng
Deity, Thần thánh,tín ngưỡng
Heaven, Thiên đàng,tín ngưỡng
Hell, Địa ngục,tín ngưỡng
Meditation, Thiền,tín ngưỡng
Sacrifice, Lễ hiến tế,tín ngưỡng
Pilgrimage, Hành hương,tín ngưỡng
